chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,target
0.43647087,1888.1233596316895,1761.4675828028503,3740.420386904762,0.10569408,0.12504650297619047,ng
0.18849173,1922.3552097653212,2135.544108649067,4365.963855421687,0.046056803,0.08167239269578314,ng
0.60789543,1272.4912027476685,1529.0915334904778,2649.8579545454545,0.039881475,0.07201408617424243,ng
0.27932566,2540.942397946376,2034.6784683453202,5223.2614436619715,0.13589883,0.162109375,ng
0.53748494,1313.0823115017783,1613.2764565731002,2817.8917253521126,0.024323035,0.08833764304577464,ng
0.51170546,2588.1962979620166,2280.314392683013,5601.1962890625,0.055472806,0.1771392822265625,ng
0.33127066,2131.614783903458,1768.6982037035616,3892.528044871795,0.0908438,0.1878818609775641,ng
0.28756946,968.485479641858,1126.275375211499,1685.9542112299466,0.04057239,0.06058865307486631,ng
0.52407867,2113.1446763116405,2064.2213759726465,4602.650316455696,0.03034895,0.1541856210443038,ng
0.48920268,2231.5615259411975,1862.4437345407337,4439.525462962963,0.046787456,0.2050901813271605,ng
0.5144185,2091.141719892255,1897.887103909011,4112.964527027027,0.031580154,0.15284522804054054,ng
0.5197517,2919.0148547305084,2191.0653440460014,5444.234913793103,0.019117285,0.31103515625,ng
0.5343188,2134.772334938143,2121.1124689323433,4840.8532303370785,0.03533974,0.17507900280898878,ng
0.4659754,1442.2513574279967,1317.8838636885832,2474.696828358209,0.10313818,0.11372580457089553,ng
0.46921277,1872.8167094156358,1679.3005253441547,3519.2240168539324,0.04797523,0.16631737183988765,ng
0.34277236,1669.4388489287653,1561.0606138405028,2773.526278409091,0.09696145,0.13941539417613635,ng
0.60361814,1856.1125821924938,1890.166502787048,3873.6810064935066,0.030470941,0.1161919135551948,ng
0.17731863,1564.1999643339623,1648.5067478371975,2611.600378787879,0.057739936,0.10564630681818182,ng
0.5740275,1735.1827752028864,1962.3600151230087,3891.6015625,0.051208172,0.09369659423828125,ng
0.5315256,1965.1545820794063,2009.897499286407,4176.582532051282,0.061300687,0.15072240584935898,ng
0.5359427,1296.641802131763,1598.9526601994153,2766.203703703704,0.044987597,0.06946855709876543,ng
0.20994571,2129.4063272448025,2162.151843389614,4906.397405660377,0.14965184,0.11399063974056604,ng
0.52193004,2578.8367674391443,2297.5016643400113,5599.588815789473,0.08014158,0.20079152960526317,ng
0.2721186,1361.943193842672,1282.3302620099817,2209.464285714286,0.09858845,0.09856584821428571,ng
0.5886346,1462.0323838523166,1601.855336888893,2802.2592905405404,0.02950476,0.09164511190878379,ng
0.47236058,1879.8025736719187,1925.4183784680063,3946.8544407894738,0.02288687,0.14942691200657895,ng
0.5909511,1604.5766933363125,1945.3327524971585,3660.218253968254,0.037451513,0.09115358382936507,ng
0.21920285,1175.6591889117767,1526.1968771010752,2186.709449404762,0.029780837,0.07240804036458333,ng
0.17458391,2525.377084445291,1552.7815610205455,4127.556818181818,0.5618567,0.2239169034090909,ng
0.16900745,2029.0408066866555,1429.0710883811712,3287.9317434210525,0.35091767,0.1592503597861842,ng
0.44004905,1932.9153996086943,1397.4018778538275,3505.2787162162163,0.10731348,0.1693214210304054,ng
0.21186486,2396.9955027086157,1538.183281365844,4208.441840277777,0.26572314,0.1663547092013889,ng
0.2981188,1435.63945367883,1459.317675911615,2309.621710526316,0.10288165,0.1056871916118421,ng
0.42747882,2061.6356871583966,2054.2241101913696,4669.892723880597,0.022180462,0.1506748484141791,ng
0.22918423,1434.0746645479906,1887.4902486432825,2700.2688172043013,0.08536921,0.09422253024193548,ng
0.28778327,1983.4899790896816,1616.4432781246087,3538.7541118421054,0.13108511,0.14534076891447367,ng
0.30889693,2170.430143445651,1413.4758023519828,3527.478448275862,0.21385811,0.18880769576149425,ng
0.24051139,1914.1433472691078,1819.9016622040117,3695.8421610169494,0.037859716,0.12271583686440678,ng
0.20774584,2300.7945478007655,1806.1892883022456,4109.6754807692305,0.10896278,0.18816356169871795,ng
0.5805271,2229.5876528106432,2209.645414601456,4956.325301204819,0.03750546,0.13987198795180722,ng
0.29382357,2666.7759912972583,1558.8820759176326,4279.417438271605,0.19230835,0.22679759837962962,ng
0.42513287,1631.3062194633646,1679.3023214910231,3020.7368827160494,0.07998317,0.12648292824074073,ng
0.2456381,2196.5081357300737,1531.1145424293113,3694.9257425742576,0.09707826,0.2189385442450495,ng
0.5075182,2438.7043845202425,2277.243998150873,5279.296875,0.055211317,0.14899236505681818,ng
0.19530018,1267.1298986671848,1291.109171962835,2448.2536764705883,0.15936187,0.0708984375,ng
0.5219208,1344.6078759745053,1098.9793967571295,2289.2561983471073,0.05898542,0.13946684529958678,ng
0.54661024,2344.815707632306,2179.0214913570576,5070.689006024097,0.038202416,0.1630035768072289,ng
0.15882936,1222.956374627344,1277.089310790757,1765.1282514450868,0.08752779,0.08734871748554913,ng
0.56746113,1553.882233231423,1786.0043661355267,3286.875,0.020831611,0.0897265625,ng
0.49063924,2442.869152826489,1649.5047121065975,4280.95703125,0.14279296,0.226629638671875,ng
0.54950774,1906.0348486866947,1914.174415363789,3923.4375,0.050323058,0.1452734375,ng
0.24934326,1010.1245191942709,1191.9970846829021,1989.3418874172185,0.078452885,0.06359944122516556,ng
0.3831512,1798.6114678002991,1435.1451316060188,3154.3560606060605,0.1016206,0.1372366240530303,ng
0.29341912,1968.707586214256,1763.200604361577,3792.0535714285716,0.12982024,0.14765345982142858,ng
0.3778871,3274.6116306356494,1863.5390614967152,5435.997596153846,0.10456398,0.33432867588141024,ng
0.19604792,1459.5717234813542,1519.4782084469364,2802.248916184971,0.22608386,0.06563572525289017,ng
0.5800546,1806.2315866389465,1807.8918301552337,3766.898777173913,0.035864223,0.1574441661005435,ng
0.4674702,1933.2956976670903,2012.095567418099,4069.6202531645567,0.030084308,0.13281868077531644,ng
0.49741936,1702.7253922964576,1808.237336110586,3641.7305424528304,0.03278175,0.12363189121462265,ng
0.35905343,1657.0355322097653,1429.8651904984056,3003.2649253731342,0.08750767,0.11244315531716417,ng
0.342403,1513.2957321106294,1409.8549500897473,2540.823063380282,0.11364269,0.13086625220070422,ng
0.2674231,1210.128209448269,1438.5374759696415,2153.6001461988303,0.02917689,0.05917340551900585,ng
0.3801288,2666.184519643438,1609.7380981471513,4379.0015243902435,0.14654441,0.2525783631859756,ng
0.28302518,3261.9374341356215,2404.5157303267,6331.54845505618,0.1426498,0.27746993504213485,ng
